Currency_Pair,Date,Value
EURUSD,20150211,1.12932
EURUSD,20150212,1.14103
EURUSD,20150213,1.13982
EURUSD,20150214,1.13775
EURUSD,20150215,1.14045
EURUSD,20150216,1.13461
EURUSD,20150217,1.14173
EURUSD,20150218,1.13995
EURUSD,20150219,1.13595
EURUSD,20150220,1.13769
EURUSD,20150221,1.13793
EURUSD,20150222,1.14008
EURUSD,20150223,1.13316
EURUSD,20150224,1.13424
EURUSD,20150225,1.13643
EURUSD,20150226,1.11979
EURUSD,20150227,1.11898
EURUSD,20150228,1.11916
EURUSD,20150301,1.11722
EURUSD,20150302,1.1181
EURUSD,20150303,1.11745
EURUSD,20150304,1.10757
EURUSD,20150305,1.1026
EURUSD,20150306,1.08488
EURUSD,20150307,1.08455
EURUSD,20150308,1.08298
EURUSD,20150309,1.08505
EURUSD,20150310,1.06968
EURUSD,20150311,1.0546
EURUSD,20150312,1.06336
EURUSD,20150313,1.04949
EURUSD,20150314,1.05
EURUSD,20150315,1.04651
EURUSD,20150316,1.0566
EURUSD,20150317,1.05966
EURUSD,20150318,1.08613
EURUSD,20150319,1.06584
EURUSD,20150320,1.08184
EURUSD,20150321,1.08115
EURUSD,20150322,1.08394
EURUSD,20150323,1.0945
EURUSD,20150324,1.0923
EURUSD,20150325,1.09682
EURUSD,20150326,1.08832
EURUSD,20150327,1.08806
EURUSD,20150328,1.08935
EURUSD,20150329,1.08866
EURUSD,20150330,1.08322
EURUSD,20150331,1.07306
EURUSD,20150401,1.07624
EURUSD,20150402,1.08794
EURUSD,20150403,1.09764
EURUSD,20150404,1.09635
EURUSD,20150405,1.10014
EURUSD,20150406,1.09208
EURUSD,20150407,1.08139
EURUSD,20150408,1.07798
EURUSD,20150409,1.06584
EURUSD,20150410,1.06034
EURUSD,20150411,1.05968
EURUSD,20150412,1.05847
EURUSD,20150413,1.05667
EURUSD,20150414,1.06556
EURUSD,20150415,1.06834
EURUSD,20150416,1.07598
EURUSD,20150417,1.08043
EURUSD,20150418,1.08051
EURUSD,20150419,1.08178
EURUSD,20150420,1.07374
EURUSD,20150421,1.07351
EURUSD,20150422,1.0724
EURUSD,20150423,1.08221
EURUSD,20150424,1.08685
EURUSD,20150425,1.08695
EURUSD,20150426,1.0863
EURUSD,20150427,1.08898
EURUSD,20150428,1.09802
EURUSD,20150429,1.11275
EURUSD,20150430,1.12236
EURUSD,20150501,1.1198
EURUSD,20150502,1.11958
EURUSD,20150503,1.11901
EURUSD,20150504,1.11451
EURUSD,20150505,1.11851
EURUSD,20150506,1.13465
EURUSD,20150507,1.12641
EURUSD,20150508,1.12015
EURUSD,20150509,1.1192
EURUSD,20150510,1.1194
EURUSD,20150511,1.11539
EURUSD,20150512,1.1212
EURUSD,20150513,1.13533
EURUSD,20150514,1.14099
EURUSD,20150515,1.1448
EURUSD,20150516,1.1442
EURUSD,20150517,1.14456
EURUSD,20150518,1.1314
EURUSD,20150519,1.11483
EURUSD,20150520,1.10917
EURUSD,20150521,1.11112
EURUSD,20150522,1.1007
EURUSD,20150523,1.1002
EURUSD,20150524,1.09979
EURUSD,20150525,1.0976
EURUSD,20150526,1.08701
EURUSD,20150527,1.09025
EURUSD,20150528,1.0947
EURUSD,20150529,1.09849
EURUSD,20150530,1.09908
EURUSD,20150531,1.09783
EURUSD,20150601,1.09241
EURUSD,20150602,1.11497
EURUSD,20150603,1.12737
EURUSD,20150604,1.12368
EURUSD,20150605,1.11107
EURUSD,20150606,1.11068
EURUSD,20150607,1.1092
EURUSD,20150608,1.12906
EURUSD,20150609,1.12816
EURUSD,20150610,1.13221
EURUSD,20150611,1.12573
EURUSD,20150612,1.12648
EURUSD,20150613,1.12571
EURUSD,20150614,1.12083
EURUSD,20150615,1.12826
EURUSD,20150616,1.1247
EURUSD,20150617,1.13366
EURUSD,20150618,1.1356
EURUSD,20150619,1.13487
EURUSD,20150620,1.135
EURUSD,20150621,1.13725
EURUSD,20150622,1.13395
EURUSD,20150623,1.11662
EURUSD,20150624,1.12007
EURUSD,20150625,1.12027
EURUSD,20150626,1.11591
EURUSD,20150627,1.11617
EURUSD,20150628,1.10028
EURUSD,20150629,1.1235
EURUSD,20150630,1.11357
EURUSD,20150701,1.10517
EURUSD,20150702,1.10822
EURUSD,20150703,1.10939
EURUSD,20150704,1.1115
EURUSD,20150705,1.0984
EURUSD,20150706,1.10551
EURUSD,20150707,1.10103
EURUSD,20150708,1.10745
EURUSD,20150709,1.10357
EURUSD,20150710,1.11605
EURUSD,20150711,1.11516
EURUSD,20150712,1.10919
EURUSD,20150713,1.1004
EURUSD,20150714,1.10085
EURUSD,20150715,1.09453
EURUSD,20150716,1.08745
EURUSD,20150717,1.08277
EURUSD,20150718,1.0828
EURUSD,20150719,1.083
EURUSD,20150720,1.08244
EURUSD,20150721,1.09325
EURUSD,20150722,1.09282
EURUSD,20150723,1.09833
EURUSD,20150724,1.09796
EURUSD,20150725,1.098
EURUSD,20150726,1.098
EURUSD,20150727,1.10868
EURUSD,20150728,1.10594
EURUSD,20150729,1.09812
EURUSD,20150730,1.093
EURUSD,20150731,1.09827
EURUSD,20150801,1.09804
EURUSD,20150802,1.09721
EURUSD,20150803,1.09498
EURUSD,20150804,1.08806
EURUSD,20150805,1.09055
EURUSD,20150806,1.09228
EURUSD,20150807,1.09647
EURUSD,20150808,1.09617
EURUSD,20150809,1.0963
EURUSD,20150810,1.10179
EURUSD,20150811,1.10405
EURUSD,20150812,1.11561
EURUSD,20150813,1.11483
EURUSD,20150814,1.1107
EURUSD,20150815,1.1104
EURUSD,20150816,1.11194
EURUSD,20150817,1.10755
EURUSD,20150818,1.10208
EURUSD,20150819,1.11196
EURUSD,20150820,1.12409
EURUSD,20150821,1.13833
EURUSD,20150822,1.13836
EURUSD,20150823,1.13744
EURUSD,20150824,1.16155
EURUSD,20150825,1.15142
EURUSD,20150826,1.13113
EURUSD,20150827,1.1243
EURUSD,20150828,1.11849
EURUSD,20150829,1.11798
EURUSD,20150830,1.1172
EURUSD,20150831,1.12086
EURUSD,20150901,1.13129
EURUSD,20150902,1.12246
EURUSD,20150903,1.11228
EURUSD,20150904,1.11427
EURUSD,20150905,1.1149
EURUSD,20150906,1.11588
EURUSD,20150907,1.1169
EURUSD,20150908,1.12008
EURUSD,20150909,1.12059
EURUSD,20150910,1.12783
EURUSD,20150911,1.13348
EURUSD,20150912,1.1339
EURUSD,20150913,1.13297
EURUSD,20150914,1.13153
EURUSD,20150915,1.12681
EURUSD,20150916,1.12894
EURUSD,20150917,1.14336
EURUSD,20150918,1.12991
EURUSD,20150919,1.1308
EURUSD,20150920,1.12804
EURUSD,20150921,1.1188
EURUSD,20150922,1.11191
EURUSD,20150923,1.11849
EURUSD,20150924,1.12285
EURUSD,20150925,1.11923
EURUSD,20150926,1.1192
EURUSD,20150927,1.11852
EURUSD,20150928,1.12438
EURUSD,20150929,1.12473
EURUSD,20150930,1.11748
EURUSD,20151001,1.11926
EURUSD,20151002,1.12098
EURUSD,20151003,1.1207
EURUSD,20151004,1.12171
EURUSD,20151005,1.11861
EURUSD,20151006,1.12696
EURUSD,20151007,1.12361
EURUSD,20151008,1.12746
EURUSD,20151009,1.13554
EURUSD,20151010,1.1355
EURUSD,20151011,1.13605
EURUSD,20151012,1.13575
EURUSD,20151013,1.13783
EURUSD,20151014,1.14727
EURUSD,20151015,1.13792
EURUSD,20151016,1.13472
EURUSD,20151017,1.13473
EURUSD,20151018,1.1357
EURUSD,20151019,1.13253
EURUSD,20151020,1.13443
EURUSD,20151021,1.13359
EURUSD,20151022,1.11082
EURUSD,20151023,1.10143
EURUSD,20151024,1.1015
EURUSD,20151025,1.10002
EURUSD,20151026,1.10566
EURUSD,20151027,1.10485
EURUSD,20151028,1.09213
EURUSD,20151029,1.09764
EURUSD,20151030,1.10033
EURUSD,20151031,1.1011
EURUSD,20151101,1.104
EURUSD,20151102,1.10161
EURUSD,20151103,1.09626
EURUSD,20151104,1.08599
EURUSD,20151105,1.0876
EURUSD,20151106,1.07428
EURUSD,20151107,1.07356
EURUSD,20151108,1.07238
EURUSD,20151109,1.07552
EURUSD,20151110,1.07141
EURUSD,20151111,1.07424
EURUSD,20151112,1.08085
EURUSD,20151113,1.07502
EURUSD,20151114,1.07687
EURUSD,20151115,1.0725
EURUSD,20151116,1.0684
EURUSD,20151117,1.06464
EURUSD,20151118,1.06517
EURUSD,20151119,1.07329
EURUSD,20151120,1.06452
EURUSD,20151121,1.06419
EURUSD,20151122,1.0637
EURUSD,20151123,1.06269
EURUSD,20151124,1.0645
EURUSD,20151125,1.0617
EURUSD,20151126,1.06062
EURUSD,20151127,1.05934
EURUSD,20151128,1.05874
EURUSD,20151129,1.05877
EURUSD,20151130,1.05662
EURUSD,20151201,1.06318
EURUSD,20151202,1.06145
EURUSD,20151203,1.09489
EURUSD,20151204,1.08736
EURUSD,20151205,1.08818
EURUSD,20151206,1.08655
EURUSD,20151207,1.08462
EURUSD,20151208,1.08942
EURUSD,20151209,1.10181
EURUSD,20151210,1.0946
EURUSD,20151211,1.0988
EURUSD,20151212,1.09865
EURUSD,20151213,1.09748
EURUSD,20151214,1.09856
EURUSD,20151215,1.09206
EURUSD,20151216,1.09171
EURUSD,20151217,1.08176
EURUSD,20151218,1.08727
EURUSD,20151219,1.08629
EURUSD,20151220,1.0863
EURUSD,20151221,1.09199
EURUSD,20151222,1.09501
EURUSD,20151223,1.09228
EURUSD,20151224,1.09633
EURUSD,20151225,1.0973
EURUSD,20151226,1.0973
EURUSD,20151227,1.0948
EURUSD,20151228,1.0973
EURUSD,20151229,1.09339
EURUSD,20151230,1.09305
EURUSD,20151231,1.08655
EURUSD,20160101,1.08584
EURUSD,20160102,1.08584
EURUSD,20160103,1.08538
EURUSD,20160104,1.08285
EURUSD,20160105,1.07504
EURUSD,20160106,1.0787
EURUSD,20160107,1.09343
EURUSD,20160108,1.0918
EURUSD,20160109,1.09193
EURUSD,20160110,1.0915
EURUSD,20160111,1.08521
EURUSD,20160112,1.08537
EURUSD,20160113,1.08825
EURUSD,20160114,1.08646
EURUSD,20160115,1.09174
EURUSD,20160116,1.09158
EURUSD,20160117,1.09277
EURUSD,20160118,1.08981
EURUSD,20160119,1.09099
EURUSD,20160120,1.08911
EURUSD,20160121,1.08877
EURUSD,20160122,1.07959
EURUSD,20160123,1.07934
EURUSD,20160124,1.07909
EURUSD,20160125,1.0854
EURUSD,20160126,1.08589
EURUSD,20160127,1.08916
EURUSD,20160128,1.09409
EURUSD,20160129,1.08333
EURUSD,20160130,1.0829
EURUSD,20160131,1.0828
EURUSD,20160201,1.08938
EURUSD,20160202,1.09131
EURUSD,20160203,1.11088
EURUSD,20160204,1.12047
EURUSD,20160205,1.11523
EURUSD,20160206,1.11521
EURUSD,20160207,1.11443
EURUSD,20160208,1.11894
EURUSD,20160209,1.1293
EURUSD,20160210,1.12934
EURUSD,20160211,1.13259
EURUSD,20160212,1.12539
EURUSD,20160213,1.1254
EURUSD,20160214,1.12367
EURUSD,20160215,1.11525
EURUSD,20160216,1.1141
EURUSD,20160217,1.11296
EURUSD,20160218,1.10975
EURUSD,20160219,1.11289
EURUSD,20160220,1.11264
EURUSD,20160221,1.11184
EURUSD,20160222,1.1024
EURUSD,20160223,1.10177
EURUSD,20160224,1.10066
EURUSD,20160225,1.10246
EURUSD,20160226,1.09396
EURUSD,20160227,1.0931
EURUSD,20160228,1.09197
EURUSD,20160229,1.08785
EURUSD,20160301,1.08669
EURUSD,20160302,1.08659
EURUSD,20160303,1.09607
EURUSD,20160304,1.10013
EURUSD,20160305,1.1004
EURUSD,20160306,1.09899
EURUSD,20160307,1.10119
EURUSD,20160308,1.10046
EURUSD,20160309,1.10035
EURUSD,20160310,1.11779
EURUSD,20160311,1.11504
EURUSD,20160312,1.11522
EURUSD,20160313,1.11353
EURUSD,20160314,1.1101
EURUSD,20160315,1.11087
EURUSD,20160316,1.12227
EURUSD,20160317,1.13172
EURUSD,20160318,1.12684
EURUSD,20160319,1.1269
EURUSD,20160320,1.1256
EURUSD,20160321,1.12401
EURUSD,20160322,1.12168
EURUSD,20160323,1.11797
EURUSD,20160324,1.11734
EURUSD,20160325,1.11639
EURUSD,20160326,1.11636
EURUSD,20160327,1.11596
EURUSD,20160328,1.1196
EURUSD,20160329,1.12902
EURUSD,20160330,1.13368
EURUSD,20160331,1.13781
EURUSD,20160401,1.13933
EURUSD,20160402,1.1394
EURUSD,20160403,1.13975
EURUSD,20160404,1.1389
EURUSD,20160405,1.1383
EURUSD,20160406,1.13977
EURUSD,20160407,1.13753
EURUSD,20160408,1.13948
EURUSD,20160409,1.1395
EURUSD,20160410,1.14136
